id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1235778545261178880,Fri Mar 06 04:05:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DFB_Frauen: A good day ✅ See you tomorrow!

WIR #IMTEAM 🇩🇪 #AlgarveCup #GERSWE https://t.co/QXpnAaIXSh",RT DFB_Frauen A good day ✅ See tomorrow WIR IMTEAM 🇩🇪 AlgarveCup GERSWE https //t.co/QXpnAaIXSh,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001,en,0,6,DFB_TeamARG,False,"IMTEAM, AlgarveCup, GERSWE",DFB_Frauen,"Formosa, Argentina",
1235751544852598784,Fri Mar 06 02:18:22 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @NZ_Football: The Italian Job is locked and loaded!  🇮🇹

Make sure you tune in live on @skysportnz 7, the home of football! 📺

#Football…",RT NZ_Football The Italian Job locked loaded 🇮🇹 Make sure tune live skysportnz 7 home football 📺 Football…,"Sentiment(polarity=0.21212121212121213, subjectivity=0.46296296296296297)",0.21212121212121213,0.46296296296296297,en,0,5,FIFAWWC,,,"NZ_Football, skysportnz",,
1235745830100799488,Fri Mar 06 01:55:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @NZ_Football: The Italian Job is locked and loaded!  🇮🇹

Make sure you tune in live on @skysportnz 7, the home of football! 📺

#Football…",RT NZ_Football The Italian Job locked loaded 🇮🇹 Make sure tune live skysportnz 7 home football 📺 Football…,"Sentiment(polarity=0.21212121212121213, subjectivity=0.46296296296296297)",0.21212121212121213,0.46296296296296297,en,0,5,ella_reilly7,,,"NZ_Football, skysportnz","Wellington City, New Zealand",
1235743769095479297,Fri Mar 06 01:47:28 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DFB_Team_EN: First hurdle cleared at the #AlgarveCup 🚧🇸🇪

WIR #IMTEAM 🇩🇪 https://t.co/qQbDLOV5J0",RT DFB_Team_EN First hurdle cleared AlgarveCup 🚧🇸🇪 WIR IMTEAM 🇩🇪 https //t.co/qQbDLOV5J0,"Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.3333333333333333,en,0,16,fussballdude,False,"AlgarveCup, IMTEAM",DFB_Team_EN,former Weltmeister Country,
1235740094373359616,Fri Mar 06 01:32:52 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @NZ_Football: The Italian Job is locked and loaded!  🇮🇹

Make sure you tune in live on @skysportnz 7, the home of football! 📺

#Football…",RT NZ_Football The Italian Job locked loaded 🇮🇹 Make sure tune live skysportnz 7 home football 📺 Football…,"Sentiment(polarity=0.21212121212121213, subjectivity=0.46296296296296297)",0.21212121212121213,0.46296296296296297,en,0,5,skysportnz,,,"NZ_Football, skysportnz","Auckland, New Zealand",
1235737007273304065,Fri Mar 06 01:20:36 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @NZ_Football: The Italian Job is locked and loaded!  🇮🇹

Make sure you tune in live on @skysportnz 7, the home of football! 📺

#Football…",RT NZ_Football The Italian Job locked loaded 🇮🇹 Make sure tune live skysportnz 7 home football 📺 Football…,"Sentiment(polarity=0.21212121212121213, subjectivity=0.46296296296296297)",0.21212121212121213,0.46296296296296297,en,0,5,El_Stevo_,,,"NZ_Football, skysportnz","Wellington City, New Zealand",
1235736677286436865,Fri Mar 06 01:19:17 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @NZ_Football: The Italian Job is locked and loaded!  🇮🇹

Make sure you tune in live on @skysportnz 7, the home of football! 📺

#Football…",RT NZ_Football The Italian Job locked loaded 🇮🇹 Make sure tune live skysportnz 7 home football 📺 Football…,"Sentiment(polarity=0.21212121212121213, subjectivity=0.46296296296296297)",0.21212121212121213,0.46296296296296297,en,0,5,DPhimphisane,,,"NZ_Football, skysportnz",,
1235735446077837323,Fri Mar 06 01:14:23 +0000 2020,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",The #FootballFerns have secured a brilliant kickoff time for people back home – their #AlgarveCup semifinal against… https://t.co/VGx7uEYeW6,The FootballFerns secured brilliant kickoff time people back home – AlgarveCup semifinal against… https //t.co/VGx7uEYeW6,"Sentiment(polarity=0.45, subjectivity=0.5)",0.45,0.5,en,10,0,andrewvoerman,False,"FootballFerns, AlgarveCup",,Auckland,
1235735354226790400,Fri Mar 06 01:14:01 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The Italian Job is locked and loaded!  🇮🇹

Make sure you tune in live on @skysportnz 7, the home of football! 📺… https://t.co/K636hj2URi",The Italian Job locked loaded 🇮🇹 Make sure tune live skysportnz 7 home football 📺… https //t.co/K636hj2URi,"Sentiment(polarity=0.21212121212121213, subjectivity=0.46296296296296297)",0.21212121212121213,0.46296296296296297,en,40,5,NZ_Football,False,,skysportnz,New Zealand,
1235711411486986242,Thu Mar 05 23:38:53 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DFB_Team_EN: After yesterday's win, the @DFB_Frauen have advanced to the semi-finals of the #AlgarveCup, where they will take on Norway…",RT DFB_Team_EN After yesterday 's win DFB_Frauen advanced semi-finals AlgarveCup take Norway…,"Sentiment(polarity=0.6000000000000001, subjectivity=0.5)",0.6000000000000001,0.5,en,0,12,Rabbi1118,,AlgarveCup,"DFB_Team_EN, DFB_Frauen","Mars, Universe!!!",
