id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1235690802321354753,Thu Mar 05 22:16:59 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @shahshahzon: We should be teaching our kids to say #MeraJismMeriMarzi as a safety mechanism! Theres nothing provocative about claiming…,RT shahshahzon We teaching kids say MeraJismMeriMarzi safety mechanism Theres nothing provocative claiming…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,89,iams714m,,MeraJismMeriMarzi,shahshahzon,Chicago,
1235690630988410881,Thu Mar 05 22:16:19 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AuratMarchKHI So placard stating #MeraJismMeriMarzi is allowed in Karachi or not?,AuratMarchKHI So placard stating MeraJismMeriMarzi allowed Karachi,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,iSadiaSheikh,,MeraJismMeriMarzi,AuratMarchKHI,Karachi,
1235690560016592896,Thu Mar 05 22:16:02 +0000 2020,"<a href=""https://www.vertient.com"" rel=""nofollow"">Pakistani News</a>","An interview with Malik Afaq Ahmed Tiwana, CEO Farmers Associates Pakistan (FAP). #pakistan https://t.co/938XD108Qn",An interview Malik Afaq Ahmed Tiwana CEO Farmers Associates Pakistan FAP pakistan https //t.co/938XD108Qn,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,pakistaninews,False,pakistan,,"Islamabad, Pakistan",
1235690551896428544,Thu Mar 05 22:16:00 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @iamirfanstar: From today i #BoycottGeo and #7thskyentertainment until they didn't take this Decision back. @marvisirmed And @Krq_Offici…,RT iamirfanstar From today BoycottGeo 7thskyentertainment n't take Decision back marvisirmed And Krq_Offici…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,46,rafayhassan17,,"BoycottGeo, 7thskyentertainment","iamirfanstar, marvisirmed","Punjab, Pakistan 🇵🇰",
1235690533328171008,Thu Mar 05 22:15:55 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MaleehaHashmey: Who do you support?

Vote &amp; RETWEET. Let's see who wins!

#KhalilUrRahmanQamar #MarviSirmad #MarviSirmed #MeraJismMeriM…",RT MaleehaHashmey Who support Vote amp RETWEET Let 's see wins KhalilUrRahmanQamar MarviSirmad MarviSirmed MeraJismMeriM…,"Sentiment(polarity=0.3, subjectivity=0.2)",0.3,0.2,en,0,1588,RaheelR58786998,,"KhalilUrRahmanQamar, MarviSirmad, MarviSirmed",MaleehaHashmey,,
1235690460477181952,Thu Mar 05 22:15:38 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @its_taabi: 100%  True...!!! 
Koi to h jo mardon k liay b bolta h Iss Aurat dominated industry m... Salute to #Khalilurehmanqamar
#MeriZ…",RT its_taabi 100 True ... Koi h jo mardon k liay b bolta h Iss Aurat dominated industry ... Salute Khalilurehmanqamar MeriZ…,"Sentiment(polarity=0.35, subjectivity=0.65)",0.35,0.65,en,0,166,ibraheeemz,,Khalilurehmanqamar,its_taabi,"Riyadh, Kingdom of Saudi Arabia",
1235690440952672256,Thu Mar 05 22:15:33 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @IndoPac_Info: One of #China’s Most Ambitious Projects Becomes a Corridor to Nowhere

A planned $62 billion initiative in #Pakistan has…",RT IndoPac_Info One China ’ Most Ambitious Projects Becomes Corridor Nowhere A planned 62 billion initiative Pakistan has…,"Sentiment(polarity=0.375, subjectivity=0.625)",0.375,0.625,en,0,105,MrLorag,,"China, Pakistan",IndoPac_Info,The Netherlands,
1235690433281437703,Thu Mar 05 22:15:31 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @PakiMuslimah_: Men are the protectors and maintainers of women, because Allah has made one of them to excel the other, and because they…",RT PakiMuslimah_ Men protectors maintainers women Allah made one excel they…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,31,insecured00,,,PakiMuslimah_,,
1235690405842296833,Thu Mar 05 22:15:25 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Check it out!! 

https://t.co/eucvyIdvmp

#Pakistan Dera Sahib. 

My new video!",Check https //t.co/eucvyIdvmp Pakistan Dera Sahib My new video,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,0,KaranjeeGaba,False,Pakistan,,London ,
1235690365157601285,Thu Mar 05 22:15:15 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @_iammasood: This little child is a mother. If this is the ‘tehzeeb’ and ‘saqafat’ you’re trying to protect in the face of #AuratMarch,…",RT _iammasood This little child mother If ‘ tehzeeb ’ ‘ saqafat ’ ’ trying protect face AuratMarch …,"Sentiment(polarity=-0.1875, subjectivity=0.5)",-0.1875,0.5,en,0,72,lashari,,AuratMarch,_iammasood,New York ,
1235690350024339459,Thu Mar 05 22:15:12 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@shazbkhanzdaGEO @GeoASKKS I am women!I thought women is a symbol of  preciousness ,decentcy not nudeness and vulga… https://t.co/zu1swvDeAb",shazbkhanzdaGEO GeoASKKS I women I thought women symbol preciousness decentcy nudeness vulga… https //t.co/zu1swvDeAb,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,sararizwan10,,,"shazbkhanzdaGEO, GeoASKKS",,
1235690221330522112,Thu Mar 05 22:14:41 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#AuratMarch2020 #AuratMarch #WeRejectMeraJismMeriMarzi #MeriZubanMeriMarzi  
#merajismmerimerzi 
            THE UG… https://t.co/9qshO5kayt",AuratMarch2020 AuratMarch WeRejectMeraJismMeriMarzi MeriZubanMeriMarzi merajismmerimerzi THE UG… https //t.co/9qshO5kayt,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,WZeefaw,,"AuratMarch2020, AuratMarch, WeRejectMeraJismMeriMarzi, MeriZubanMeriMarzi, merajismmerimerzi",,Pakistan,
1235690218562498560,Thu Mar 05 22:14:40 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","On account of aurat march and all this other non sense shit happening around, THIS IS ALL I WANT TO SAY. :)… https://t.co/dAAqJ5XC2z",On account aurat march non sense shit happening around THIS IS ALL I WANT TO SAY … https //t.co/dAAqJ5XC2z,"Sentiment(polarity=-0.2, subjectivity=0.8)",-0.2,0.8,en,1,0,mariyumfarooq,False,,,"Islamabad, Pakistan",
1235690217757171717,Thu Mar 05 22:14:40 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @sennahmad: #WhyIMarch because these four words scare the men that need to be held accountable. I march behind those that have been dema…,RT sennahmad WhyIMarch four words scare men need held accountable I march behind dema…,"Sentiment(polarity=-0.4, subjectivity=0.7)",-0.4,0.7,en,0,140,KamranShafi46,,WhyIMarch,sennahmad,,
1235690176837554177,Thu Mar 05 22:14:30 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MaleehaHashmey: Who do you support?

Vote &amp; RETWEET. Let's see who wins!

#KhalilUrRahmanQamar #MarviSirmad #MarviSirmed #MeraJismMeriM…",RT MaleehaHashmey Who support Vote amp RETWEET Let 's see wins KhalilUrRahmanQamar MarviSirmad MarviSirmed MeraJismMeriM…,"Sentiment(polarity=0.3, subjectivity=0.2)",0.3,0.2,en,0,1588,Mian__Yahya,,"KhalilUrRahmanQamar, MarviSirmad, MarviSirmed",MaleehaHashmey,Pakistan پاکستان,
1235690172706062342,Thu Mar 05 22:14:29 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Ramiakhan12: I support #AuratMarch when it comes to talk about the basic rights like education, inheritance, health, &amp; employment of gi…",RT Ramiakhan12 I support AuratMarch comes talk basic rights like education inheritance health amp employment gi…,"Sentiment(polarity=0.0, subjectivity=0.125)",0.0,0.125,en,0,2,Fatin88_8,,AuratMarch,Ramiakhan12,Pakistan ,
1235690125029445632,Thu Mar 05 22:14:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @PTIofficial: Minister of Foreign Affairs Shah Mahmood Qureshi Speech at CASS Seminar “Global Strategic Threat and Response” in Islamaba…,RT PTIofficial Minister Foreign Affairs Shah Mahmood Qureshi Speech CASS Seminar “ Global Strategic Threat Response ” Islamaba…,"Sentiment(polarity=-0.0625, subjectivity=0.0625)",-0.0625,0.0625,en,0,22,ZoyaIqb36272499,,,PTIofficial,Islamabad-,
