id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1235691445866070016,Thu Mar 05 22:19:33 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @KamiAkmal23: Alhamdulliah much needed victory for @PeshawarZalmi Excellent performance @realshoaibmalik @iamhaideralyy &amp; great job done…,RT KamiAkmal23 Alhamdulliah much needed victory PeshawarZalmi Excellent performance realshoaibmalik iamhaideralyy amp great job done…,"Sentiment(polarity=0.6666666666666666, subjectivity=0.65)",0.6666666666666666,0.65,en,0,32,Fatimabalushi32,,,"KamiAkmal23, PeshawarZalmi, realshoaibmalik, iamhaideralyy","UAE, Alain",
1235691353935187968,Thu Mar 05 22:19:11 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SKMCH: From the Battle of Life, to the Battle on Ground:
Patients of @SKMCH are proud to support @KarachiKingsARY during @thePSLt20.
Co…",RT SKMCH From Battle Life Battle Ground Patients SKMCH proud support KarachiKingsARY thePSLt20 Co…,"Sentiment(polarity=0.8, subjectivity=1.0)",0.8,1.0,en,0,16,Fmkniazi,,,"SKMCH, SKMCH, KarachiKingsARY, thePSLt20","Eastern, Kingdom of Saudi Arabia",
1235691084157771776,Thu Mar 05 22:18:07 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Saj_PakPassion This gentleman wanted to train Bumrah and Pandya. Instead he has destroyed #QuettaGladiators bowlin… https://t.co/2CYsjjJJsG,Saj_PakPassion This gentleman wanted train Bumrah Pandya Instead destroyed QuettaGladiators bowlin… https //t.co/2CYsjjJJsG,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,thinkloudsaboor,False,QuettaGladiators,Saj_PakPassion,"Virginia, USA","[[-77.429394, 38.941438], [-77.388917, 38.941438], [-77.388917, 38.962919], [-77.429394, 38.962919]]"
1235690856222515202,Thu Mar 05 22:17:12 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @iRashidLatif68: Amazing job Muhammad Ashraf the head grounds man Rawalpindi Stadium. Like father like son. He has done second time in r…,RT iRashidLatif68 Amazing job Muhammad Ashraf head grounds man Rawalpindi Stadium Like father like son He done second time r…,"Sentiment(polarity=0.30000000000000004, subjectivity=0.45)",0.30000000000000004,0.45,en,0,105,afkhhan,,,iRashidLatif68,London ,
1235690753516548097,Thu Mar 05 22:16:48 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @zeehu: Ground staff really working hard to make play possible! Hope the rain stays away. #HBLPSLV #PZvQG https://t.co/M5oFHgqupo,RT zeehu Ground staff really working hard make play possible Hope rain stays away HBLPSLV PZvQG https //t.co/M5oFHgqupo,"Sentiment(polarity=-0.030555555555555558, subjectivity=0.5805555555555556)",-0.030555555555555558,0.5805555555555556,en,0,26,SyedAli09425847,False,"HBLPSLV, PZvQG",zeehu,"Karachi, Pakistan",
1235690736755945473,Thu Mar 05 22:16:44 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @KarachiKingsARY: 👑 #King #AliKhan thanks 'Q Mobile' for being the #PlatinumSponsor of #KarachiKings in Pakistan's Biggest Cricketing To…,RT KarachiKingsARY 👑 King AliKhan thanks Q Mobile PlatinumSponsor KarachiKings Pakistan 's Biggest Cricketing To…,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,en,0,8,shaikh_ifi_jee,,"King, AliKhan, PlatinumSponsor, KarachiKings",KarachiKingsARY,in dreams,
1235690447839862785,Thu Mar 05 22:15:35 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @KassNaidoo: Team at Rawalpindi ready to go! Hope to have some good news for you soon about when we are likely to get underway here 🙌 #H…,RT KassNaidoo Team Rawalpindi ready go Hope good news soon likely get underway 🙌 H…,"Sentiment(polarity=0.3, subjectivity=0.7000000000000001)",0.3,0.7000000000000001,en,0,65,adnanology,,,KassNaidoo,Pakistan & Germany ,
1235690320433569795,Thu Mar 05 22:15:05 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Q &amp; A:
1- Which 4 teams do u suggest, will qualify for the Playoffs ?
2- Name 3,4 promising players in dis season o… https://t.co/N7ttuCcrlF","Q amp A 1- Which 4 teams u suggest qualify Playoffs 2- Name 3,4 promising players dis season o… https //t.co/N7ttuCcrlF","Sentiment(polarity=0.2, subjectivity=0.5)",0.2,0.5,en,2,0,jaf_hk,,,,"Lahore, Pakistan",
1235690176376188929,Thu Mar 05 22:14:30 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @PeshawarZalmi: 1️⃣ MILLION FOLLOWERS 💥

Peshawar Zalmi is the only Franchise to reach 1 Million Followers on Twitter! 

Thank you for t…",RT PeshawarZalmi 1️⃣ MILLION FOLLOWERS 💥 Peshawar Zalmi Franchise reach 1 Million Followers Twitter Thank t…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,152,cr7Hassankhan,,,PeshawarZalmi,"Peshawar, Pakistan",
1235690117794344960,Thu Mar 05 22:14:16 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @DaleSteyn62: See you soon Pakistan! 
@IsbUnited 
@thePSLt20 #TayyarHain #HBLPSLV https://t.co/A09k2ns1xQ",RT DaleSteyn62 See soon Pakistan IsbUnited thePSLt20 TayyarHain HBLPSLV https //t.co/A09k2ns1xQ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,3669,Omerome88623213,False,"TayyarHain, HBLPSLV","DaleSteyn62, IsbUnited, thePSLt20",,
