id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1235823991173959681,Fri Mar 06 07:06:14 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @txtbighitnews: .@TXT_members were nominated for #SpotifyAwards Emerging Artist. They didn’t win, but it’s still an achievement they wer…",RT txtbighitnews TXT_members nominated SpotifyAwards Emerging Artist They ’ win ’ still achievement wer…,"Sentiment(polarity=0.8, subjectivity=0.4)",0.8,0.4,en,0,616,erisa_aeri,,SpotifyAwards,"txtbighitnews, TXT_members",Your Heart 🙃💕,
1235823985557815297,Fri Mar 06 07:06:13 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @BTSPublicity: Congratulations to @BTS_twt for winning 'Most Streamed Kpop Male Artist' at #SpotifyAwards 🎉🥂,RT BTSPublicity Congratulations BTS_twt winning 'Most Streamed Kpop Male Artist SpotifyAwards 🎉🥂,"Sentiment(polarity=0.3333333333333333, subjectivity=0.45)",0.3333333333333333,0.45,en,0,3130,jojo81211123,,SpotifyAwards,"BTSPublicity, BTS_twt",,
1235823983330648064,Fri Mar 06 07:06:12 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @chartsblackpink: .@ygofficialblink takes home ‘Most Streamed Female K-Pop Artist’ at the very first #SpotifyAwards. Congratulations! 🎉🖤…,RT chartsblackpink ygofficialblink takes home ‘ Most Streamed Female K-Pop Artist ’ first SpotifyAwards Congratulations 🎉🖤…,"Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.3333333333333333,en,0,2216,boywjthluv,,SpotifyAwards,"chartsblackpink, ygofficialblink",Italia,
1235823969351024641,Fri Mar 06 07:06:09 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @btsotc: .@BTS_twt was the Most Streamed Korean Artist on the #SpotifyAwards 🏆 in Mexico 🇲🇽. https://t.co/kSO3PLDS07,RT btsotc BTS_twt Most Streamed Korean Artist SpotifyAwards 🏆 Mexico 🇲🇽 https //t.co/kSO3PLDS07,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,598,BTS_4ever4life,False,SpotifyAwards,"btsotc, BTS_twt","Glenroy, Melbourne",
1235823950212395008,Fri Mar 06 07:06:04 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @BTSPublicity: Congratulations to @BTS_twt for winning 'Most Streamed Kpop Male Artist' at #SpotifyAwards 🎉🥂,RT BTSPublicity Congratulations BTS_twt winning 'Most Streamed Kpop Male Artist SpotifyAwards 🎉🥂,"Sentiment(polarity=0.3333333333333333, subjectivity=0.45)",0.3333333333333333,0.45,en,0,3130,CarleluvsVkook,,SpotifyAwards,"BTSPublicity, BTS_twt",Taekook Land,
1235823923146551297,Fri Mar 06 07:05:58 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BLACKPINKSTATS5: BLACKPINK wins ‘Most Streamed Female K-Pop Artist’ at the first #SpotifyAwards. Congratulations BLACKPINK 🖤💗

#KillThi…",RT BLACKPINKSTATS5 BLACKPINK wins ‘ Most Streamed Female K-Pop Artist ’ first SpotifyAwards Congratulations BLACKPINK 🖤💗 KillThi…,"Sentiment(polarity=0.2625, subjectivity=0.3)",0.2625,0.3,en,0,246,MPMPeiei_,,SpotifyAwards,BLACKPINKSTATS5,,
1235823906964922368,Fri Mar 06 07:05:54 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BLACKPINK won ‘Most Streamed Female K-Pop Artist’ at the first #SpotifyAwards, congratulations🥳! @ygofficialblink https://t.co/hvGFTG7PV4",BLACKPINK ‘ Most Streamed Female K-Pop Artist ’ first SpotifyAwards congratulations🥳 ygofficialblink https //t.co/hvGFTG7PV4,"Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.3333333333333333,en,0,0,exopinkupdates,False,SpotifyAwards,ygofficialblink,,
1235823885662048258,Fri Mar 06 07:05:49 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ARMYMAGofficial: Congratulations to @BTS_twt as they have won the 'Most Streamed KPOP Male Artist' Award at the #SpotifyAwards! 🏆🎉 http…,RT ARMYMAGofficial Congratulations BTS_twt 'Most Streamed KPOP Male Artist Award SpotifyAwards 🏆🎉 http…,"Sentiment(polarity=0.25, subjectivity=0.3)",0.25,0.3,en,0,213,aGenuineCrystal,,SpotifyAwards,"ARMYMAGofficial, BTS_twt",,
1235823867030953991,Fri Mar 06 07:05:45 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @txtbighitnews: .@TXT_members were nominated for #SpotifyAwards Emerging Artist. They didn’t win, but it’s still an achievement they wer…",RT txtbighitnews TXT_members nominated SpotifyAwards Emerging Artist They ’ win ’ still achievement wer…,"Sentiment(polarity=0.8, subjectivity=0.4)",0.8,0.4,en,0,616,Hyuka88101444,,SpotifyAwards,"txtbighitnews, TXT_members",,
1235823859556732929,Fri Mar 06 07:05:43 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @BTSPublicity: Congratulations to @BTS_twt for winning 'Most Streamed Kpop Male Artist' at #SpotifyAwards 🎉🥂,RT BTSPublicity Congratulations BTS_twt winning 'Most Streamed Kpop Male Artist SpotifyAwards 🎉🥂,"Sentiment(polarity=0.3333333333333333, subjectivity=0.45)",0.3333333333333333,0.45,en,0,3130,AtikahZ83144405,,SpotifyAwards,"BTSPublicity, BTS_twt","DKI Jakarta, Indonesia",
