id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1235739581619855366,Fri Mar 06 01:30:49 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @jaza_stadi: FT | N. Ireland 🇮🇪 0-2 🇰🇪 Kenya

Harambee Starlets kicked off the tournament in a high gear with a 2-0 win over Northern Ir…",RT jaza_stadi FT N. Ireland 🇮🇪 0-2 🇰🇪 Kenya Harambee Starlets kicked tournament high gear 2-0 win Northern Ir…,"Sentiment(polarity=0.48000000000000004, subjectivity=0.47)",0.48000000000000004,0.47,en,0,20,KhasimwaMmaitsi,,,jaza_stadi,NBO,
1235684591182241793,Thu Mar 05 21:52:19 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @FIFAWWC: #AlgarveCup ☑️
#CyprusCup ☑️
#SheBelievesCup ☑️
#PinatarCup ☑️
#TournoiDeFrance ☑️
#TurkishWomensCup ☑️

It's all happening in…",RT FIFAWWC AlgarveCup ☑️ CyprusCup ☑️ SheBelievesCup ☑️ PinatarCup ☑️ TournoiDeFrance ☑️ TurkishWomensCup ☑️ It 's happening in…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,79,minty83,,"AlgarveCup, CyprusCup, SheBelievesCup, PinatarCup, TournoiDeFrance, TurkishWomensCup",FIFAWWC,In and around Planet @KRCSC,
1235661603800039427,Thu Mar 05 20:20:58 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ArtstandingKE: ICYMI: @h_starlets kicked off their #TurkishWomensCup campaign with a 2-0 win over Northern Ireland. Janet Bundi opened…,RT ArtstandingKE ICYMI h_starlets kicked TurkishWomensCup campaign 2-0 win Northern Ireland Janet Bundi opened…,"Sentiment(polarity=0.8, subjectivity=0.4)",0.8,0.4,en,0,4,ronjez_kirau,,TurkishWomensCup,"ArtstandingKE, H_Starlets","Kitale, Kenya",
1235660678045687808,Thu Mar 05 20:17:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @jaza_stadi: FT | N. Ireland 🇮🇪 0-2 🇰🇪 Kenya

Harambee Starlets kicked off the tournament in a high gear with a 2-0 win over Northern Ir…",RT jaza_stadi FT N. Ireland 🇮🇪 0-2 🇰🇪 Kenya Harambee Starlets kicked tournament high gear 2-0 win Northern Ir…,"Sentiment(polarity=0.48000000000000004, subjectivity=0.47)",0.48000000000000004,0.47,en,0,20,waka_enock,,,jaza_stadi,Nairobi Kenya,
1235643866449154048,Thu Mar 05 19:10:29 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JWsports1: #CAFWOQ: Talking about 🇨🇱 Chile, they're currently suiting up in the #TurkishWomensCup where they've been pooled alongside t…",RT JWsports1 CAFWOQ Talking 🇨🇱 Chile 're currently suiting TurkishWomensCup 've pooled alongside t…,"Sentiment(polarity=0.0, subjectivity=0.4)",0.0,0.4,en,0,2,Ahema6,,"CAFWOQ, TurkishWomensCup",JWsports1,"Norwich, England",
1235619388029575169,Thu Mar 05 17:33:13 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @jaza_stadi: FT | N. Ireland 🇮🇪 0-2 🇰🇪 Kenya

Harambee Starlets kicked off the tournament in a high gear with a 2-0 win over Northern Ir…",RT jaza_stadi FT N. Ireland 🇮🇪 0-2 🇰🇪 Kenya Harambee Starlets kicked tournament high gear 2-0 win Northern Ir…,"Sentiment(polarity=0.48000000000000004, subjectivity=0.47)",0.48000000000000004,0.47,en,0,20,kibagodmann,,,jaza_stadi,"Nakuru, Kenya",
1235614260560121856,Thu Mar 05 17:12:50 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JWsports1: #CAFWOQ: Talking about 🇨🇱 Chile, they're currently suiting up in the #TurkishWomensCup where they've been pooled alongside t…",RT JWsports1 CAFWOQ Talking 🇨🇱 Chile 're currently suiting TurkishWomensCup 've pooled alongside t…,"Sentiment(polarity=0.0, subjectivity=0.4)",0.0,0.4,en,0,2,chichionchiri,,"CAFWOQ, TurkishWomensCup",JWsports1,Nairobi . Kenya,
1235613491505106946,Thu Mar 05 17:09:47 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#CAFWOQ: Talking about 🇨🇱 Chile, they're currently suiting up in the #TurkishWomensCup where they've been pooled al… https://t.co/b10lGeGNnt",CAFWOQ Talking 🇨🇱 Chile 're currently suiting TurkishWomensCup 've pooled al… https //t.co/b10lGeGNnt,"Sentiment(polarity=0.0, subjectivity=0.4)",0.0,0.4,en,5,2,JWsports1,False,"CAFWOQ, TurkishWomensCup",,Africa,
1235605658675757057,Thu Mar 05 16:38:40 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @IamRachaelMuema: Great team effort, a win in our first match 💪🏽 🇰🇪.

On to the next one ladies 🙌🏽.

#HarambeeStarlets #TurkishWomensCup…",RT IamRachaelMuema Great team effort win first match 💪🏽 🇰🇪 On next one ladies 🙌🏽 HarambeeStarlets TurkishWomensCup…,"Sentiment(polarity=0.4625, subjectivity=0.3708333333333333)",0.4625,0.3708333333333333,en,0,7,MwawanaMuema,,"HarambeeStarlets, TurkishWomensCup",IamRachaelMuema,"Nairobi, Kenya",
1235604761287761921,Thu Mar 05 16:35:06 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @jaza_stadi: FT | N. Ireland 🇮🇪 0-2 🇰🇪 Kenya

Harambee Starlets kicked off the tournament in a high gear with a 2-0 win over Northern Ir…",RT jaza_stadi FT N. Ireland 🇮🇪 0-2 🇰🇪 Kenya Harambee Starlets kicked tournament high gear 2-0 win Northern Ir…,"Sentiment(polarity=0.48000000000000004, subjectivity=0.47)",0.48000000000000004,0.47,en,0,20,osiro_ruth,,,jaza_stadi,Kenya,
1235569511241314305,Thu Mar 05 14:15:01 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Kenyan_Soccer: Harambee Starlets kick off the #TurkishWomensCup
with a 2-0 win over North Ireland 

#InternationalWomensDay
#HarambeeSt…",RT Kenyan_Soccer Harambee Starlets kick TurkishWomensCup 2-0 win North Ireland InternationalWomensDay HarambeeSt…,"Sentiment(polarity=0.8, subjectivity=0.4)",0.8,0.4,en,0,2,fmngos,,"TurkishWomensCup, InternationalWomensDay",Kenyan_Soccer,Hands on,
1235569469902262272,Thu Mar 05 14:14:52 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @IamRachaelMuema: Great team effort, a win in our first match 💪🏽 🇰🇪.

On to the next one ladies 🙌🏽.

#HarambeeStarlets #TurkishWomensCup…",RT IamRachaelMuema Great team effort win first match 💪🏽 🇰🇪 On next one ladies 🙌🏽 HarambeeStarlets TurkishWomensCup…,"Sentiment(polarity=0.4625, subjectivity=0.3708333333333333)",0.4625,0.3708333333333333,en,0,7,fmngos,,"HarambeeStarlets, TurkishWomensCup",IamRachaelMuema,Hands on,
