id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1235709820096770049,Thu Mar 05 23:32:34 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @ScotlandNT: Miss them earlier? Or just want to watch them again?

Catch the highlights as Scotland opened their #PinatarCup campaign wi…",RT ScotlandNT Miss earlier Or want watch Catch highlights Scotland opened PinatarCup campaign wi…,"Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5,en,0,18,tkmcinnes,,PinatarCup,ScotlandNT,Edinburgh,
1235704842183757824,Thu Mar 05 23:12:47 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ScotlandNT: One match down, two to go.

Get ready for our next #PinatarCup match, as we look ahead to Saturday's clash with Iceland in…",RT ScotlandNT One match two go Get ready next PinatarCup match look ahead Saturday 's clash Iceland in…,"Sentiment(polarity=0.1, subjectivity=0.25)",0.1,0.25,en,0,11,WFS_Scotland,,PinatarCup,ScotlandNT,United Kingdom,
1235704805642964992,Thu Mar 05 23:12:38 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ScotlandNT: Miss them earlier? Or just want to watch them again?

Catch the highlights as Scotland opened their #PinatarCup campaign wi…",RT ScotlandNT Miss earlier Or want watch Catch highlights Scotland opened PinatarCup campaign wi…,"Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5,en,0,18,WFS_Scotland,,PinatarCup,ScotlandNT,United Kingdom,
1235686696794181632,Thu Mar 05 22:00:41 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Keep an ear 👂🏻 out for this dropping on Sunday #womensfootball #PinatarCup #GAWA https://t.co/sORp0AXiDO,Keep ear 👂🏻 dropping Sunday womensfootball PinatarCup GAWA https //t.co/sORp0AXiDO,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,Clarkie8,False,"womensfootball, PinatarCup, GAWA",,"Dundonald, Northern Ireland",
1235684591182241793,Thu Mar 05 21:52:19 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @FIFAWWC: #AlgarveCup ☑️
#CyprusCup ☑️
#SheBelievesCup ☑️
#PinatarCup ☑️
#TournoiDeFrance ☑️
#TurkishWomensCup ☑️

It's all happening in…",RT FIFAWWC AlgarveCup ☑️ CyprusCup ☑️ SheBelievesCup ☑️ PinatarCup ☑️ TournoiDeFrance ☑️ TurkishWomensCup ☑️ It 's happening in…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,79,minty83,,"AlgarveCup, CyprusCup, SheBelievesCup, PinatarCup, TournoiDeFrance, TurkishWomensCup",FIFAWWC,In and around Planet @KRCSC,
1235681948179234817,Thu Mar 05 21:41:48 +0000 2020,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @ScotlandNT: Miss them earlier? Or just want to watch them again?

Catch the highlights as Scotland opened their #PinatarCup campaign wi…",RT ScotlandNT Miss earlier Or want watch Catch highlights Scotland opened PinatarCup campaign wi…,"Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5,en,0,18,ScottishFr,,PinatarCup,ScotlandNT,,
1235669746844135425,Thu Mar 05 20:53:19 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @ScotlandNT: Miss them earlier? Or just want to watch them again?

Catch the highlights as Scotland opened their #PinatarCup campaign wi…",RT ScotlandNT Miss earlier Or want watch Catch highlights Scotland opened PinatarCup campaign wi…,"Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5,en,0,18,InnerFury4K,,PinatarCup,ScotlandNT,Scotland,
1235666996194312199,Thu Mar 05 20:42:24 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ScotlandNT: Miss them earlier? Or just want to watch them again?

Catch the highlights as Scotland opened their #PinatarCup campaign wi…",RT ScotlandNT Miss earlier Or want watch Catch highlights Scotland opened PinatarCup campaign wi…,"Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5,en,0,18,HannahB4LiviMP,,PinatarCup,ScotlandNT,Livingston ,
1235665228735623168,Thu Mar 05 20:35:22 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","🆚 #PinatarCup 1.Spieltag: 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Schottland 3:0 Ukraine 󠁧󠁢󠁳󠁣󠁴󠁿🇺🇦

⚽️ 1:0 Martha Thomas (22')
⚽️ 2:0 Martha Thomas… https://t.co/Z6OcrJIcnS",🆚 PinatarCup 1.Spieltag 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Schottland 3:0 Ukraine 󠁧󠁢󠁳󠁣󠁴󠁿🇺🇦 ⚽️ 1:0 Martha Thomas 22 ⚽️ 2:0 Martha Thomas… https //t.co/Z6OcrJIcnS,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,FFB_Ergebnisse,False,PinatarCup,,Stuttgart,
1235665084233498626,Thu Mar 05 20:34:48 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ScotlandNT: Morning!

Start the day off with the highlights of yesterday's 3-0 #PinatarCup victory over Ukraine.

#NothingMattersMore |…",RT ScotlandNT Morning Start day highlights yesterday 's 3-0 PinatarCup victory Ukraine NothingMattersMore |…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,13,clems76LH,,"PinatarCup, NothingMattersMore",ScotlandNT,,
