id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1235832043419787272,Fri Mar 06 07:38:14 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @SoccerCooligans: World 👏🏽 Class👏🏽 ⤴️ @ChristenPress #SheBelievesCup #USAvENG #USWNT https://t.co/bFuY1SgzvC,RT SoccerCooligans World 👏🏽 Class👏🏽 ⤴️ ChristenPress SheBelievesCup USAvENG USWNT https //t.co/bFuY1SgzvC,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,250,iAmTwelly,False,"SheBelievesCup, USAvENG, USWNT","SoccerCooligans, ChristenPress",,
1235831988583460865,Fri Mar 06 07:38:01 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @RachTalksSoccer: Beth England is the Lionesses best striker. 
I know she just played a Cup match but less than 20 minutes for her again…",RT RachTalksSoccer Beth England Lionesses best striker I know played Cup match less 20 minutes again…,"Sentiment(polarity=0.4166666666666667, subjectivity=0.18333333333333332)",0.4166666666666667,0.18333333333333332,en,0,8,_arbon_,,,RachTalksSoccer,wishing i was at a royals game,
1235831950981529601,Fri Mar 06 07:37:52 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @espnW: CHRISTEN PRESS WITH AN ABSOLUTE BEAUTY 😤

#SheBelievesCup https://t.co/Dut3txudo3",RT espnW CHRISTEN PRESS WITH AN ABSOLUTE BEAUTY 😤 SheBelievesCup https //t.co/Dut3txudo3,"Sentiment(polarity=0.2, subjectivity=0.9)",0.2,0.9,en,0,1546,tyce_lawler,False,SheBelievesCup,espnW,"Starkville, MS",
1235831904668012550,Fri Mar 06 07:37:41 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @FOXSoccer: New kits work just fine. 

Goals from Press and Lloyd give the @USWNT the win over the defending #SheBelievesCup champs! htt…",RT FOXSoccer New kits work fine Goals Press Lloyd give USWNT win defending SheBelievesCup champs htt…,"Sentiment(polarity=0.451010101010101, subjectivity=0.4515151515151515)",0.451010101010101,0.4515151515151515,en,0,134,ayin_nnnnn,,SheBelievesCup,"FOXSoccer, USWNT",,
1235831856177676288,Fri Mar 06 07:37:29 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AnnemarieBatson: USA 2-0 England: Lionesses beaten in SheBelieves Cup opener

#SheBelievesCup  https://t.co/u4RMOkmB29",RT AnnemarieBatson USA 2-0 England Lionesses beaten SheBelieves Cup opener SheBelievesCup https //t.co/u4RMOkmB29,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,LukeConlaund4,False,SheBelievesCup,AnnemarieBatson,,
1235831805787267073,Fri Mar 06 07:37:17 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","USA 2-0 England: Lionesses beaten in SheBelieves Cup opener

#SheBelievesCup  https://t.co/u4RMOkmB29",USA 2-0 England Lionesses beaten SheBelieves Cup opener SheBelievesCup https //t.co/u4RMOkmB29,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,1,AnnemarieBatson,False,SheBelievesCup,,Essex,
1235831537364373504,Fri Mar 06 07:36:13 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @SoccerCooligans: World 👏🏽 Class👏🏽 ⤴️ @ChristenPress #SheBelievesCup #USAvENG #USWNT https://t.co/bFuY1SgzvC,RT SoccerCooligans World 👏🏽 Class👏🏽 ⤴️ ChristenPress SheBelievesCup USAvENG USWNT https //t.co/bFuY1SgzvC,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,250,faith03473176,False,"SheBelievesCup, USAvENG, USWNT","SoccerCooligans, ChristenPress",,
1235831525402218496,Fri Mar 06 07:36:10 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @FOXSoccer: New kits work just fine. 

Goals from Press and Lloyd give the @USWNT the win over the defending #SheBelievesCup champs! htt…",RT FOXSoccer New kits work fine Goals Press Lloyd give USWNT win defending SheBelievesCup champs htt…,"Sentiment(polarity=0.451010101010101, subjectivity=0.4515151515151515)",0.451010101010101,0.4515151515151515,en,0,134,faith03473176,,SheBelievesCup,"FOXSoccer, USWNT",,
1235831512857104386,Fri Mar 06 07:36:07 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BBCMOTD: ""Not good enough.""

No messing around from Lianne Sanderson in her post-match analysis. 

Reaction: https://t.co/IIIJHf1DFv
#S…",RT BBCMOTD `` Not good enough '' No messing around Lianne Sanderson post-match analysis Reaction https //t.co/IIIJHf1DFv S…,"Sentiment(polarity=-0.175, subjectivity=0.55)",-0.175,0.55,en,0,16,shan_illu,False,,BBCMOTD,,
1235831166378184706,Fri Mar 06 07:34:45 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SoccerCooligans: World 👏🏽 Class👏🏽 ⤴️ @ChristenPress #SheBelievesCup #USAvENG #USWNT https://t.co/bFuY1SgzvC,RT SoccerCooligans World 👏🏽 Class👏🏽 ⤴️ ChristenPress SheBelievesCup USAvENG USWNT https //t.co/bFuY1SgzvC,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,250,Ismaeal_babah,False,"SheBelievesCup, USAvENG, USWNT","SoccerCooligans, ChristenPress",Earth ,
1235831147428368384,Fri Mar 06 07:34:40 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @FOXSoccer: New kits work just fine. 

Goals from Press and Lloyd give the @USWNT the win over the defending #SheBelievesCup champs! htt…",RT FOXSoccer New kits work fine Goals Press Lloyd give USWNT win defending SheBelievesCup champs htt…,"Sentiment(polarity=0.451010101010101, subjectivity=0.4515151515151515)",0.451010101010101,0.4515151515151515,en,0,134,Ismaeal_babah,,SheBelievesCup,"FOXSoccer, USWNT",Earth ,
1235831044667871240,Fri Mar 06 07:34:16 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SoccerCooligans: World 👏🏽 Class👏🏽 ⤴️ @ChristenPress #SheBelievesCup #USAvENG #USWNT https://t.co/bFuY1SgzvC,RT SoccerCooligans World 👏🏽 Class👏🏽 ⤴️ ChristenPress SheBelievesCup USAvENG USWNT https //t.co/bFuY1SgzvC,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,250,Masia_18,False,"SheBelievesCup, USAvENG, USWNT","SoccerCooligans, ChristenPress",South Africa,
1235830842716385280,Fri Mar 06 07:33:28 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @espnW: CHRISTEN PRESS WITH AN ABSOLUTE BEAUTY 😤

#SheBelievesCup https://t.co/Dut3txudo3",RT espnW CHRISTEN PRESS WITH AN ABSOLUTE BEAUTY 😤 SheBelievesCup https //t.co/Dut3txudo3,"Sentiment(polarity=0.2, subjectivity=0.9)",0.2,0.9,en,0,1546,SquatchoSpotti1,False,SheBelievesCup,espnW,"San Diego, CA",
1235830809455554562,Fri Mar 06 07:33:20 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @MalloryyB: @ChristenPress giving away her jersey like the saint that she is #SheBelievesCup https://t.co/5sizOtFmiz,RT MalloryyB ChristenPress giving away jersey like saint SheBelievesCup https //t.co/5sizOtFmiz,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,10,UnnatiN,False,SheBelievesCup,"MalloryyB, ChristenPress","Mumbai, India",
1235830798885867520,Fri Mar 06 07:33:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @NWSL: Not the first time @ChristenPress has scored an absolute 💎

#SheBelievesCup",RT NWSL Not first time ChristenPress scored absolute 💎 SheBelievesCup,"Sentiment(polarity=0.037500000000000006, subjectivity=0.6166666666666667)",0.037500000000000006,0.6166666666666667,en,0,207,UnnatiN,,SheBelievesCup,"NWSL, ChristenPress","Mumbai, India",
1235830696297426949,Fri Mar 06 07:32:53 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Lionesses: 🙌 Thanks to all those who supported back home. We'll dust ourselves off and go again on Sunday. @JillScottJS8 

#SheBelieves…",RT Lionesses 🙌 Thanks supported back home We 'll dust go Sunday JillScottJS8 SheBelieves…,"Sentiment(polarity=0.1, subjectivity=0.1)",0.1,0.1,en,0,18,beth_yaxley,,,"Lionesses, JillScottJS8","England, United Kingdom",
1235830646762696709,Fri Mar 06 07:32:41 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Lionesses: After an end-to-end first half, it was a two-minute lapse that cost us our #SheBelievesCup opener. 

Full match report for…",RT Lionesses After end-to-end first half two-minute lapse cost us SheBelievesCup opener Full match report for…,"Sentiment(polarity=0.14444444444444446, subjectivity=0.35000000000000003)",0.14444444444444446,0.35000000000000003,en,0,13,beth_yaxley,,SheBelievesCup,Lionesses,"England, United Kingdom",
1235830624767717381,Fri Mar 06 07:32:36 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BBCSport: Christen Press, that is a lovely goal!

Live: https://t.co/QAysQL1iu3
#SheBelievesCup https://t.co/t2j95E4ql0",RT BBCSport Christen Press lovely goal Live https //t.co/QAysQL1iu3 SheBelievesCup https //t.co/t2j95E4ql0,"Sentiment(polarity=0.3181818181818182, subjectivity=0.625)",0.3181818181818182,0.625,en,0,20,Faruq50,False,SheBelievesCup,BBCSport,Lasgidi,
1235830504651251713,Fri Mar 06 07:32:07 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BBCMOTD: ""Not good enough.""

No messing around from Lianne Sanderson in her post-match analysis. 

Reaction: https://t.co/IIIJHf1DFv
#S…",RT BBCMOTD `` Not good enough '' No messing around Lianne Sanderson post-match analysis Reaction https //t.co/IIIJHf1DFv S…,"Sentiment(polarity=-0.175, subjectivity=0.55)",-0.175,0.55,en,0,16,em_sandy,False,,BBCMOTD,Manchester/Salford/Liverpool,
1235830473844076544,Fri Mar 06 07:32:00 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @USWNT: Women Winning. You love to see it. 🇺🇸

#SheBelievesCup x @Visa https://t.co/egZiCtzTUn",RT USWNT Women Winning You love see 🇺🇸 SheBelievesCup x Visa https //t.co/egZiCtzTUn,"Sentiment(polarity=0.5, subjectivity=0.675)",0.5,0.675,en,0,936,AlyssaCortezzz,False,SheBelievesCup,"USWNT, Visa","California, USA",
1235830416071749633,Fri Mar 06 07:31:46 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @espnW: CHRISTEN PRESS WITH AN ABSOLUTE BEAUTY 😤

#SheBelievesCup https://t.co/Dut3txudo3",RT espnW CHRISTEN PRESS WITH AN ABSOLUTE BEAUTY 😤 SheBelievesCup https //t.co/Dut3txudo3,"Sentiment(polarity=0.2, subjectivity=0.9)",0.2,0.9,en,0,1546,kellyklock4,False,SheBelievesCup,espnW,,
