id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1235823473978572802,Fri Mar 06 07:04:11 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Newsoftheday - Discover today's front pages of the #BelgianPress 🧐💡📰!
#Dortmund #ThomasMeunier #FoiresAuxVins… https://t.co/EgdKpGB8On",Newsoftheday Discover today 's front pages BelgianPress 🧐💡📰 Dortmund ThomasMeunier FoiresAuxVins… https //t.co/EgdKpGB8On,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Auxipress,False,"Newsoftheday, BelgianPress, Dortmund, ThomasMeunier, FoiresAuxVins",,Belgium,
1235822544525000705,Fri Mar 06 07:00:29 +0000 2020,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Listen to my DANCE TRACK on my Youtube Channel. #bestedm #bigroom #dj #music #goodmusic #newmusic #musicmonday… https://t.co/dyx5DSLgBt,Listen DANCE TRACK Youtube Channel bestedm bigroom dj music goodmusic newmusic musicmonday… https //t.co/dyx5DSLgBt,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,davi6smith,False,"bestedm, bigroom, dj, music, goodmusic, newmusic, musicmonday",,Belgium,
1235814992433147909,Fri Mar 06 06:30:29 +0000 2020,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",My FUTURE HOUSE MIX #9 On My Youtube Channel is OUT. #dj #djlife #djlifestyle #armadamusic #wearmada #tomorrowland… https://t.co/oFPqBzCE4K,My FUTURE HOUSE MIX 9 On My Youtube Channel OUT dj djlife djlifestyle armadamusic wearmada tomorrowland… https //t.co/oFPqBzCE4K,"Sentiment(polarity=0.0, subjectivity=0.125)",0.0,0.125,en,0,0,davi6smith,False,"dj, djlife, djlifestyle, armadamusic, wearmada, tomorrowland",,Belgium,
1235807420825427968,Fri Mar 06 06:00:23 +0000 2020,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Watch My BIG ROOM MIX #8 On My Youtube Channel. #dj #djlife #djlifestyle #armadamusic #wearmada #tomorrowland #asot… https://t.co/Fqpl1MJibp,Watch My BIG ROOM MIX 8 On My Youtube Channel dj djlife djlifestyle armadamusic wearmada tomorrowland asot… https //t.co/Fqpl1MJibp,"Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1,en,0,0,davi6smith,False,"dj, djlife, djlifestyle, armadamusic, wearmada, tomorrowland, asot",,Belgium,
1235805885852614657,Fri Mar 06 05:54:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tomorrowland and ultra got cancelled fearing Covid-19 .
Meanwhile sunburn ,
""Baby, there's nothing holding me back!… https://t.co/hTmRVDSgPL",Tomorrowland ultra got cancelled fearing Covid-19 Meanwhile sunburn '' Baby 's nothing holding back … https //t.co/hTmRVDSgPL,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Mewtx_official,,,,"Navi Mumbai, India","[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]"
1235805820283056130,Fri Mar 06 05:54:02 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Let’s see a good side about the #CoronavirusOutbreak and canceling major music festival is that we won’t be doing a… https://t.co/QtPBNRWfZO,Let ’ see good side CoronavirusOutbreak canceling major music festival ’ a… https //t.co/QtPBNRWfZO,"Sentiment(polarity=0.38125, subjectivity=0.55)",0.38125,0.55,en,1,0,thepunisher1988,,CoronavirusOutbreak,,"Los Angeles, CA",
1235795195616268288,Fri Mar 06 05:11:49 +0000 2020,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Decorative Bottle Cork with  Lights $8.99 + Free Shipping
.
.
#festival #festival #musicfestival #tomorrowland… https://t.co/FREAvR81J5",Decorative Bottle Cork Lights 8.99 Free Shipping festival festival musicfestival tomorrowland… https //t.co/FREAvR81J5,"Sentiment(polarity=0.4, subjectivity=0.8)",0.4,0.8,en,0,0,accessories_bar,False,"festival, festival, musicfestival, tomorrowland",,,
1235794976484753408,Fri Mar 06 05:10:57 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AlanMyron: Want to live in #Tomorrowland?

Become a dreamer!
#Tulsi2020 #YangGang #Marianne2020 https://t.co/mdmPUX7MOP",RT AlanMyron Want live Tomorrowland Become dreamer Tulsi2020 YangGang Marianne2020 https //t.co/mdmPUX7MOP,"Sentiment(polarity=0.13636363636363635, subjectivity=0.5)",0.13636363636363635,0.5,en,0,12,yanglogic1,False,"Tomorrowland, Tulsi2020, YangGang, Marianne2020",AlanMyron,,
1235794093847928832,Fri Mar 06 05:07:26 +0000 2020,"<a href=""https://qiita.com/ryokwkm"" rel=""nofollow"">entenkwkm</a>",【Popular No.1 Topics in Netherlands!】 #Tomorrowland #Alpe_dHuez #France #Alps Coronavirus nekt Tomorrowland Winter,【Popular No.1 Topics Netherlands 】 Tomorrowland Alpe_dHuez France Alps Coronavirus nekt Tomorrowland Winter,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,entenkwkm,,"Tomorrowland, Alpe_dHuez, France, Alps",,the world,
1235778398544371714,Fri Mar 06 04:05:04 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#tomorrowland too c mon,tomorrowland c mon,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,pjrm009,,tomorrowland,,"US: 35.732735,-83.508201",
1235760947999830016,Fri Mar 06 02:55:43 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @EDMLife: Another One Hits the Dust – Tomorrowland Winter Edition Canceled! - https://t.co/6wyXF1sbv4 @tomorrowland #TomorrowlandWinter…,RT EDMLife Another One Hits Dust – Tomorrowland Winter Edition Canceled https //t.co/6wyXF1sbv4 tomorrowland TomorrowlandWinter…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,desertqueensh,False,TomorrowlandWinter,"EDMLife, tomorrowland",,
1235723029927391232,Fri Mar 06 00:25:03 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Get you a girl who can do both. 
It's me. 🙋🏽‍♀️ I can do both. 
#girlboss #ravegirls #contrast #LinkedIn… https://t.co/wT2R0BPsNh",Get girl It 's 🙋🏽‍♀️ I girlboss ravegirls contrast LinkedIn… https //t.co/wT2R0BPsNh,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,vibewithkimmy,False,"girlboss, ravegirls, contrast, LinkedIn",,"Chicago, IL",
1235722885572038656,Fri Mar 06 00:24:29 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",What’s everyone’s thoughts on all these festivals getting cancelled? 🙁 #COVIDー19 #coronavirus #ultramusicfestival… https://t.co/uZmZQRf7VD,What ’ everyone ’ thoughts festivals getting cancelled 🙁 COVIDー19 coronavirus ultramusicfestival… https //t.co/uZmZQRf7VD,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,Qvents1,,"COVIDー19, coronavirus, ultramusicfestival",,Denver Colorado ,
1235705539889258497,Thu Mar 05 23:15:33 +0000 2020,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Artists from all over the world, if you want to spread joy rather than fear you are welcome. Please DM and let us k… https://t.co/bbiipZbzrA",Artists world want spread joy rather fear welcome Please DM let us k… https //t.co/bbiipZbzrA,"Sentiment(polarity=0.8, subjectivity=0.55)",0.8,0.55,en,1,0,OffTomorrowland,False,,,,
1235694385263591424,Thu Mar 05 22:31:14 +0000 2020,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Another One Hits the Dust – Tomorrowland Winter Edition Canceled! - https://t.co/6wyXF1sbv4 @tomorrowland… https://t.co/Sk0PmdMDsA,Another One Hits Dust – Tomorrowland Winter Edition Canceled https //t.co/6wyXF1sbv4 tomorrowland… https //t.co/Sk0PmdMDsA,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,EDMLife,False,,tomorrowland,Hollywood and everywhere else!,
1235693771804811264,Thu Mar 05 22:28:47 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Back 2 the roots.....

#progressive #trance #progressivetrance #trancemusic #tranceprogressive #soundcloud #ultra… https://t.co/MBsQG82VyR",Back 2 roots ... .. progressive trance progressivetrance trancemusic tranceprogressive soundcloud ultra… https //t.co/MBsQG82VyR,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Steelifestyle,False,"progressive, trance, progressivetrance, trancemusic, tranceprogressive, soundcloud, ultra",,Italy,
1235692784473927680,Thu Mar 05 22:24:52 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cancelan Tomorrowland 2020 por el Coronavirus 

#festival #tomorrowland2020 #virus #precaucion  https://t.co/O1okUL0tjw",Cancelan Tomorrowland 2020 por el Coronavirus festival tomorrowland2020 virus precaucion https //t.co/O1okUL0tjw,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,EnlaceRV,False,"festival, tomorrowland2020, virus, precaucion",,Caracas - Venezuela,
1235691874460921858,Thu Mar 05 22:21:15 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Interesting food for thought about

#TOMORROWLAND https://t.co/RAUQYgf983",Interesting food thought TOMORROWLAND https //t.co/RAUQYgf983,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,0,oahuheather,False,TOMORROWLAND,,"Draper, UT",
1235686556423401475,Thu Mar 05 22:00:07 +0000 2020,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",My Latest release here!!! --&gt; https://t.co/7kUlXp5hge #rave #EDM #asot855 #Ultra #tomorrowland # #DJ #dance #trancefamily \_(ツ)_/,My Latest release -- gt https //t.co/7kUlXp5hge rave EDM asot855 Ultra tomorrowland DJ dance trancefamily \_ ツ _/,"Sentiment(polarity=0.5, subjectivity=0.9)",0.5,0.9,en,0,0,janvandale_,False,"rave, EDM, asot855, Ultra, tomorrowland, DJ, dance, trancefamily",,"Zwolle, The Netherlands",
1235682704043020288,Thu Mar 05 21:44:49 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DjaneMag: @tomorrowlandwinter 😢
@charlottedewittemusic favorite face ❤️
#Tomorrowlandwinter #TOMORROWLAND #charlottedewitte #djanemag #…",RT DjaneMag tomorrowlandwinter 😢 charlottedewittemusic favorite face ❤️ Tomorrowlandwinter TOMORROWLAND charlottedewitte djanemag …,"Sentiment(polarity=0.5, subjectivity=1.0)",0.5,1.0,en,0,2,realbarbi2749,,Tomorrowlandwinter,DjaneMag,hungary,
1235673243006234632,Thu Mar 05 21:07:13 +0000 2020,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check out the construction progress for the new Tron attraction scheduled to open in the Magic Kingdom in 2021!
🎢 🎢… https://t.co/LXiYvdKQJ0",Check construction progress new Tron attraction scheduled open Magic Kingdom 2021 🎢 🎢… https //t.co/LXiYvdKQJ0,"Sentiment(polarity=0.21212121212121213, subjectivity=0.6515151515151515)",0.21212121212121213,0.6515151515151515,en,0,0,SarahPhillipsMT,False,,,,
